id,date,time,year,pair,direction,outcome,profit,r,lots,slPips,entry,stopLoss,takeProfit,exitPrice,mambaDecision,mambaR,setup,checklist,source,row,lesson,review
"1","2026-01-05","22:30:47","2026","DJ30","","win","177.66","3.159860558","1.4","40.16","48595.55","48555.39","48712.97","48712.97","","","","","Import: TradingNote_20251021.xlsx","2","","5 R&R收手"
"2","2026-01-06","22:31:00","2026","NAS100","","loss","-48.02","-1","1.4","34.3","25502.05","25467.75","","","","","","","Import: TradingNote_20251021.xlsx","3","",""
"3","2026-01-06","22:32:00","2026","DJ30","","loss","-49.14","-1","1.4","35.1","49028.55","48993.45","","","","","","","Import: TradingNote_20251021.xlsx","4","",""
"4","2026-01-06","22:36:00","2026","NAS100","","loss","-43.82","-1","1.4","31.3","25490.8","25459.5","","","","","","","Import: TradingNote_20251021.xlsx","5","","沒有照著ATR，這禮拜算是習慣新策略"
"5","2026-01-06","22:40:00","2026","DJ30","","loss","-28.63","-1","1.4","20.45","49082.55","49062.1","","","","","","","Import: TradingNote_20251021.xlsx","6","","原本TP1該BE，但沒BE就把打掉"
"6","2026-01-06","22:44:00","2026","NAS100","","win","38.08","1","1.4","27.2","25500.3","25527.5","","0","","","","","Import: TradingNote_20251021.xlsx","7","","沒有照著ATR，這禮拜算是習慣新策略"
"7","2026-01-06","22:49:00","2026","DJ30","","loss","-64.52","-0.9996901147","1.4","46.1","49083.55","49037.45","","","","","","","Import: TradingNote_20251021.xlsx","8","","Over Trade，一天最多4筆，這禮拜算是習慣新策略"
"8","2026-01-07","22:32:00","2026","DJ30","","loss","-16.94","-0.5761904762","1.4","21","49543.45","49564.45","","","","","","","Import: TradingNote_20251021.xlsx","9","",""
"9","2026-01-07","22:37:00","2026","DJ30","","win","4.06","0.1380952381","1.4","21","49545.45","49524.45","49542.55","49542.55","","","","","Import: TradingNote_20251021.xlsx","10","",""
"10","2026-01-07","22:39:00","2026","NAS100","","win","34.93","1.663333333","1.4","15","25669.4","25684.4","25694.35","25694.35","","","","","Import: TradingNote_20251021.xlsx","11","",""
"11","2026-01-08","22:31:00","2026","DJ30","","win","127.25","1.696666667","2.5","30","48919.55","48889.55","48970.45","48970.45","","","","","Import: TradingNote_20251021.xlsx","12","",""
"12","2026-01-12","22:30:47","2026","DJ30","","win","272.17","3.202","3.4","25","49191.79","49216.79","49110.9","49110.9","","","","","Import: TradingNote_20251021.xlsx","13","","還是直接Close比較能夠冷靜"
"13","2026-01-13","22:39:00","2026","NAS100","","win","45.09","0.668","2.7","25","25867.36","25842.36","25884.06","25884.06","","","","","Import: TradingNote_20251021.xlsx","14","","還是直接Close比較能夠冷靜"
"14","2026-01-14","22:30:00","2026","DJ30","","loss","-117.26","-1","2.6","45.1","49208.08","49162.98","","","","","","","Import: TradingNote_20251021.xlsx","15","","原本可以賺錢，但因為下的手數不是0.5倍數所以一直被卡，
而且MAX虧損70，沒有及時砍單，以後要直接設定SL。
因為今天FTMO沒有設定好SL，爆倉了。"
"15","2026-01-14","22:32:00","2026","DJ30","","loss","-105.21","-1","2.1","50.1","49174.08","49123.98","","","","","","","Import: TradingNote_20251021.xlsx","16","","MAX虧損70，沒有及時砍單，以後要直接設定SL，但至少沒有任何想凹單的想法"
"16","2026-01-14","22:33:00","2026","DJ30","","loss","-84.21","-1","2.1","40.1","49140.08","49099.98","","","","","","","Import: TradingNote_20251021.xlsx","17","","MAX虧損70，沒有及時砍單，以後要直接設定SL，但至少沒有任何想凹單的想法"
"17","2026-01-14","22:35:00","2026","DJ30","","win","115.29","2.196","2.1","30","49160.08","49135.08","49214.98","49214.98","","","","","Import: TradingNote_20251021.xlsx","18","",""
"22","2026-01-15","22:30:00","2026","DJ30","","be","0","0","","49320.08","49320.08","","","","","","","","Import: TradingNote_20251021.xlsx","23","",""
"21","2026-01-15","22:32:00","2026","DJ30","","loss","-68.17","-1.0025","1.7","40","49332.08","49292.08","","","","","","","Import: TradingNote_20251021.xlsx","22","",""
"19","2026-01-15","22:33:00","2026","DJ30","","win","67.83","0.9975","1.7","40","49333.08","49293.08","49372.98","49372.98","","","","","Import: TradingNote_20251021.xlsx","20","",""
"20","2026-01-15","22:35:00","2026","NAS100","","loss","-71.12","-0.8620606061","3.3","25","25727.51","25752.51","","","","","","","Import: TradingNote_20251021.xlsx","21","",""
"18","2026-01-15","22:37:00","2026","NAS100","","be","0","0","","25725.26","25725.26","","","","","","","","Import: TradingNote_20251021.xlsx","19","",""
"23","2026-01-20","22:30:00","2026","DJ30","","win","130.8","1.868571429","2","35","48734.05","48699.05","48799.45","48799.45","","","","","Import: TradingNote_20251021.xlsx","24","","還是忘記BE要設定正的"
"24","2026-01-21","22:31:00","2026","DJ30","","win","0.66","0","1.2","60","48706.96","","48707.51","48707.51","","","","","Import: TradingNote_20251021.xlsx","25","","川普剛講話，市場非常沒有流動性，而且atr異常的大，今天交易很有風險，所以BE"
"28","2026-01-22","22:30:00","2026","NAS100","","loss","-82.43","-1.000060661","3.5","20","25561.27","25584.82","","","","","","","Import: TradingNote_20251021.xlsx","29","",""
"27","2026-01-22","22:32:00","2026","NAS100","","loss","-72.77","-1.000068714","3.3","20","25547.77","25569.82","","","","","","","Import: TradingNote_20251021.xlsx","28","",""
"26","2026-01-22","22:35:00","2026","NAS100","","loss","-31.52","-1.000158655","3.3","20","25530.02","25539.57","","","","","","","Import: TradingNote_20251021.xlsx","27","",""
"25","2026-01-22","22:43:00","2026","NAS100","","loss","-65.75","-1","2.5","25","25507.02","25533.32","","","","","","","Import: TradingNote_20251021.xlsx","26","",""
"29","2026-01-26","22:33:00","2026","NAS100","","win","70.11","0.9225","3.8","20","25656.3","25636.3","25674.75","25674.75","","","","","Import: TradingNote_20251021.xlsx","30","","等回撤，一天一單OK"
"30","2026-01-27","22:30:00","2026","NAS100","","loss","-116.5","-1","5","15","25850.56","25873.86","","","","","","","Import: TradingNote_20251021.xlsx","31","","開盤第二層布局，但來不及調SL，造成SL太大"
"31","2026-01-27","22:35:00","2026","NAS100","","win","119.62","1.696737589","4.7","15","25843.56","25858.56","25818.11","25818.11","","","","","Import: TradingNote_20251021.xlsx","32","","等回撤1MIN OK，因為NAS SELL，但DJ30往上漲，所以不要持倉太久"
"32","2026-01-28","22:33:00","2026","US30","","win","93.36","1.296666667","2.4","30","49089.61","49059.61","49128.51","49128.51","","","","","Import: TradingNote_20251021.xlsx","33","","等回撤1MIN OK，因為NAS SELL，但DJ30往上漲，所以不要持倉太久"
"33","2026-01-29","22:34:00","2026","US30","","win","118.62","1.882857143","1.8","35","49165.61","49130.61","49231.51","49231.51","","","","","Import: TradingNote_20251021.xlsx","34","","等回撤1MIN OK，因為NAS SELL，但DJ30往上漲，所以不要持倉太久"
"34","2026-02-02","22:33:00","2026","US30","","win","421.25","2.10625","5","40","48965.57","48925.57","49049.82","49049.82","","","","","Import: TradingNote_20251021.xlsx","35","","等回撤，一天一單OK，雖然第一波爆發沒跟到，但少了一些風險，
等回徹一天一筆更適合我"
"35","2026-02-03","22:32:00","2026","US30","","win","352.98","1.680857143","6","35","49520.61","49485.61","49579.44","49579.44","","","","","Import: TradingNote_20251021.xlsx","36","","錯過NAS100好的單，但沒關係市場一直都在，沒有追高，所以等機會做US30。"
"36","2026-02-04","22:33:00","2026","US30","","win","211.31","0.996745283","5.3","40","49531.59","49491.59","49571.46","49571.46","","","","","Import: TradingNote_20251021.xlsx","37","","等回撤OK，進場後動的有點慢，所以TP1 BE後，看突破不了就砍單了"
"37","2026-02-05","22:32:00","2026","NAS100","","loss","-221.36","-1.079804878","4.1","50","24583.12","24633.12","24637.17","","","","","","Import: TradingNote_20251021.xlsx","38","","一天一筆OK，發現ATR異常大，是否這樣的天都會造成Slow?"
"38","2026-02-09","22:33:00","2026","NAS100","","loss","-262.85","-1.251666667","7","30","24927.95","24957.95","","","","","","","Import: TradingNote_20251021.xlsx","40","","來不及close，沒關係"
"39","2026-02-10","22:40:00","2026","NAS100","","win","265.6","1.328","8","25","25248.15","25273.15","25214.95","25214.95","","","","","Import: TradingNote_20251021.xlsx","41","",""
"40","2026-02-11","22:34:00","2026","US30","","loss","-235.16","-1.152745098","5.1","40","50518.56","50478.56","","","","","","","Import: TradingNote_20251021.xlsx","42","","Very slow day, 沒看尖尖的拒絕進場，因為以後會吞噬，但後面沒有。
算是看錯，但沒關係，有守紀律最重要。"
"41","2026-02-12","22:32:00","2026","US30","","win","181.08","1.006","6","30","50376.24","50346.24","50406.42","50406.42","","","","","Import: TradingNote_20251021.xlsx","43","",""
"42","2026-02-17","22:31:00","2026","NAS100","","loss","-211","-0.9962228517","6","35.3","24647.05","24611.75","","","","","","","Import: TradingNote_20251021.xlsx","45","","Mamba開盤直接上US30，我不應該等5min回撤，應該主攻1min，失誤了，
但沒關係沒有突破紀律"
"43","2026-02-18","22:37:00","2026","NAS100","","loss","-234.4","-1.172","8","25","24710.67","24735.67","","","","","","","Import: TradingNote_20251021.xlsx","46","","FOMC，但Mamba有交易，所以我跟著交易。後來US30有跟著突破，應該跟FOMC沒關係"
"44","2026-02-19","22:34:00","2026","US30","","win","409","2.028769841","5.6","35","49452.45","49488.45","49379.25","49379.25","","","","","Import: TradingNote_20251021.xlsx","47","",""
"45","2026-02-23","22:32:00","2026","NAS100","","win","197.55","0.878","9","25","24955.65","24930.65","24977.6","24977.6","","","","","Import: TradingNote_20251021.xlsx","49","","涵碧樓網路延遲不然原本TP2，沒差，住得真爽。"
"47","2026-02-24","22:32:00","2026","DJ30","","win","334.5","1.6725","5","40","48964.51","48924.51","49031.41","49031.41","","","","","Import: TradingNote_20251021.xlsx","51","","tp5，但沒等到"
"46","2026-02-24","22:35:00","2026","DJ30","","loss","-176.72","-0.918025974","5.5","35","48860.4","48825.4","","","","","","","Import: TradingNote_20251021.xlsx","50","","太早進場 -> 要等1min快收盤才可以進場"
"48","2026-02-25","22:33:00","2026","DJ30","","loss","-212.59","-1.073686869","6.6","30","49363.36","49393.36","","","","","","","Import: TradingNote_20251021.xlsx","52","",""
"49","2026-02-26","22:30:00","2026","NAS100","","win","314.55","1.7475","9","20","25292.16","25312.16","25257.21","25257.21","","","","","Import: TradingNote_20251021.xlsx","53","",""
"50","2026-03-02","22:35:00","2026","DJ30","","win","26.55","0.1311111111","4.5","45","48558.55","48513.55","","0","","","","","Import: TradingNote_20251021.xlsx","54","","開盤前atr也異常大，slow day"
"51","2026-03-02","22:39:00","2026","DJ30","","win","110","0.6111111111","4","50","48591.6","48546.6","48619.1","48619.1","","","","","Import: TradingNote_20251021.xlsx","55","","開盤前atr也異常大，slow day"
"52","2026-03-03","22:32:00","2026","NAS100","","loss","-202","-1.01","5","40","24586.88","24546.88","","","","","","","Import: TradingNote_20251021.xlsx","56","","開盤前atr異常大，NAS來到40，slow day"
"53","2026-03-04","22:34:00","2026","DJ30","","win","181","0.9141414141","3.3","60","48561.43","48621.43","","0","","","","","Import: TradingNote_20251021.xlsx","57","","開盤前ATR異常大，所以Be careful。 觀察速度，很容易反轉!!!"
"54","2026-03-05","22:32:00","2026","NAS100","","win","122","0.6777777778","6","30","25052.03","25022.03","25072.48","25072.48","","","","","Import: TradingNote_20251021.xlsx","58","","ATR大，這周戰爭影響都Slow move..."
"55","2026-03-09","21:31:00","2026","DJ30","","loss","-206","-0.980952381","3.5","60","47109.55","47049.55","","","","","","","Import: TradingNote_20251021.xlsx","59","","FTMO 20W 開始的第一天. ATR very big, slow..............."
"57","2026-03-10","21:31:00","2026","DJ30","","be","0","0","4","60","47752.55","47692.55","","","","","","","Import: TradingNote_20251021.xlsx","61","","ATR very big, slow............... , BE"
"56","2026-03-10","21:43:00","2026","NAS100","","loss","-213","-1.049261084","5.8","35","24969.31","25004.31","","","","","","","Import: TradingNote_20251021.xlsx","60","","ATR very big, slow............... "
