id,year,date,time,pair,direction,outcome,profit,r,lots,slPips,entry,stopLoss,takeProfit,mambaDecision,mambaR,setup,review,source,row,batchId
1,2026,2026-01-05,22:30:47,DJ30,,win,177.66,3.16,1.4,40.16,48595.55,48555.39,48712.97,,,,5 R&R收手,TradingNote,5,live-default
2,2026,2026-01-06,22:31:00,NAS100,,loss,-48.02,-1,1.4,34.3,25502.05,25467.75,,,,,,TradingNote,6,live-default
3,2026,2026-01-06,22:32:00,DJ30,,loss,-49.14,-1,1.4,35.1,49028.55,48993.45,,,,,,TradingNote,7,live-default
4,2026,2026-01-06,22:36:00,NAS100,,loss,-43.82,-1,1.4,31.3,25490.8,25459.5,,,,,沒有照著ATR，這禮拜算是習慣新策略,TradingNote,8,live-default
5,2026,2026-01-06,22:40:00,DJ30,,loss,-28.63,-1,1.4,20.45,49082.55,49062.1,,,,,原本TP1該BE，但沒BE就把打掉,TradingNote,9,live-default
6,2026,2026-01-06,22:44:00,NAS100,,win,38.08,1,1.4,27.2,25500.3,25527.5,,,,,沒有照著ATR，這禮拜算是習慣新策略,TradingNote,10,live-default
7,2026,2026-01-06,22:49:00,DJ30,,loss,-64.52,-1,1.4,46.1,49083.55,49037.45,,,,,Over Trade，一天最多4筆，這禮拜算是習慣新策略,TradingNote,11,live-default
8,2026,2026-01-07,22:32:00,DJ30,,loss,-16.94,-0.58,1.4,21,49543.45,49564.45,,,,,,TradingNote,12,live-default
9,2026,2026-01-07,22:37:00,DJ30,,win,4.06,0.14,1.4,21,49545.45,49524.45,49542.55,,,,,TradingNote,13,live-default
10,2026,2026-01-07,22:39:00,NAS100,,win,34.93,1.66,1.4,15,25669.4,25684.4,25694.35,,,,,TradingNote,14,live-default
11,2026,2026-01-08,22:31:00,DJ30,,win,127.25,1.7,2.5,30,48919.55,48889.55,48970.45,,,,,TradingNote,15,live-default
12,2026,2026-01-12,22:30:47,DJ30,,win,272.17,3.2,3.4,25,49191.79,49216.79,49110.9,,,,還是直接Close比較能夠冷靜,TradingNote,19,live-default
13,2026,2026-01-13,22:39:00,NAS100,,win,45.09,0.67,2.7,25,25867.36,25842.36,25884.06,,,,還是直接Close比較能夠冷靜,TradingNote,20,live-default
